SUMLEV,STATE,Region,Division,STNAME,NPOPCHG_2004,BIRTHS2004,DEATHS2004,INTERNATIONALMIG2004,INTERNALMIG2004,RESIDUAL2004,NATURALINC2004,NETMIG2004,RBIRTH2004,RDEATH2004,RINTERNATIONALMIG2004,RINTERNALMIG2004,RNATURALINC2004,RNETMIG2004
040,19,2,4,Iowa,11542,37770,27214,5266,-3543,-737,10556,1723,12.815845094,9.234058999,1.7868212938,-1.20218531,3.5817860952,0.5846359835
040,20,2,4,Kansas,9473,39058,24277,6677,-11117,-868,14781,-4440,14.312409432,8.8960613391,2.4467191812,-4.073712316,5.416348093,-1.626993135
040,21,3,6,Kentucky,25055,54798,40154,4684,7244,-1517,14644,11928,13.270506011,9.7241486617,1.1343306353,1.7542893088,3.5463573493,2.8886199441
040,22,3,7,Louisiana,16305,66220,42412,3429,-9347,-1585,23808,-5918,14.720356027,9.4279634525,0.7622485777,-2.077788701,5.2923925747,-1.315540123
040,23,1,1,Maine,6740,13666,12283,870,4974,-487,1383,5844,10.419216005,9.3647907351,0.6633043995,3.7922713601,1.0544252696,4.4555757597
040,24,3,5,Maryland,48855,76587,43719,19096,-6791,3682,32868,12305,13.832096978,7.895928131,3.4488584732,-1.226497585,5.9361688467,2.2223608877
040,25,1,1,Massachusetts,-10183,80557,55688,29041,-61980,-2113,24869,-32939,12.562547042,8.6843243875,4.5288296318,-9.665537019,3.8782226546,-5.136707388
040,26,2,3,Michigan,26060,131009,86301,22029,-37495,-3182,44708,-15466,12.98253048,8.5521251438,2.1829963128,-3.715622441,4.4304053363,-1.532626128
040,27,2,4,Minnesota,34884,69627,37073,12681,-8719,-1632,32554,3962,13.708520243,7.2991220499,2.4967002054,-1.71664136,6.4093981931,0.780058845
040,28,3,6,Mississippi,19975,43660,28071,1801,3705,-1120,15589,5506,15.10318753,9.7105262748,0.6230151338,1.2816607833,5.3926612553,1.9046759171
040,29,2,4,Missouri,40815,77192,54164,7541,4236,6010,23028,11777,13.450135121,9.4376764261,1.31396348,0.7380916723,4.0124586947,2.0520551523
040,30,4,8,Montana,9035,11246,8504,374,6292,-373,2742,6666,12.192074501,9.2194025927,0.405462908,6.8213171582,2.9726719084,7.2267800662
040,31,2,4,Nebraska,9691,25699,15314,3931,-4407,-218,10385,-476,14.745316387,8.7867144694,2.255490047,-2.528604588,5.9586019175,-0.273114541
040,32,4,8,Nevada,91198,33652,17685,11741,64446,-956,15967,76187,14.712549605,7.7318269277,5.1331286378,28.175590511,6.9807226777,33.308719149
040,33,1,1,New Hampshire,11575,14179,9632,1962,5601,-535,4547,7563,10.962736053,7.4471453318,1.5169538145,4.3305088251,3.5155907209,5.8474626396
040,34,1,2,New Jersey,45138,116858,73208,51787,-47244,-3055,43650,4543,13.489949954,8.4510453389,5.9782303159,-5.453791744,5.0389046149,0.5244385719
040,35,4,8,New Mexico,23754,27796,13209,4912,4925,-670,14587,9837,14.698098332,6.9847165371,2.5973902362,2.6042644367,7.7133817947,5.2016546729
040,36,1,2,New York,52696,255492,154489,119078,-213190,45805,101003,-94112,13.269293183,8.0235773898,6.1844632849,-11.07228647,5.2457157928,-4.88782318
040,37,3,5,North Carolina,118093,119918,72631,27448,44886,-1528,47287,72334,14.138903485,8.5635409112,3.2362499612,5.2922732351,5.5753625734,8.5285231963
040,38,2,4,North Dakota,3257,7965,5810,606,744,-248,2155,1350,12.549641197,9.1542266609,0.9548126259,1.1722452041,3.395414536,2.12705783
040,39,2,3,Ohio,18395,149350,108585,13369,-32300,-3439,40765,-18931,13.053991036,9.4909113936,1.1685223044,-2.82319324,3.5630796423,-1.654670936
040,40,3,7,Oklahoma,18629,50895,35057,6369,-2336,-1242,15838,4033,14.482540493,9.9757229995,1.8123450319,-0.664725702,4.5068174934,1.1476193301
040,41,4,9,Oregon,28682,45447,30786,12917,2549,-1445,14661,15466,12.705261528,8.6066006863,3.6111044327,0.7126039482,4.0986608413,4.3237083809
040,42,1,2,Pennsylvania,29541,146659,126902,18282,-4290,-4208,19757,13992,11.84673248,10.250813418,1.4767723985,-0.346535039,1.5959190612,1.1302373591
040,44,1,1,Rhode Island,4187,13192,10002,3369,-2052,-320,3190,1317,12.239492124,9.2798211208,3.1257465863,-1.903838526,2.9596710033,1.22190806
040,45,3,5,South Carolina,51139,56425,38021,6207,28115,-1587,18404,34322,13.523643007,9.1126704611,1.4876606494,6.7384532236,4.4109725459,8.226113873
040,46,2,4,South Dakota,6022,10943,7133,691,1868,-347,3810,2559,14.25593726,9.2924792538,0.9001967145,2.4335274423,4.963458006,3.3337241568
040,47,3,6,Tennessee,51713,79194,57326,8763,23064,-1982,21868,31827,13.497194646,9.7701868864,1.49349593,3.9308444745,3.7270077597,5.4243404046
040,48,3,7,Texas,372413,378154,152064,117689,36923,-8289,226090,154612,16.968731802,6.8234984497,5.281004768,1.6568289224,10.145233352,6.9378336905
040,49,4,8,Utah,42012,49538,13158,8889,-6908,3651,36380,1981,20.643396555,5.4831808283,3.7042099394,-2.878690771,15.160215727,0.8255191686
040,50,1,1,Vermont,2141,6479,4975,794,62,-219,1504,856,10.447261806,8.0220909842,1.2803095963,0.0999737972,2.4251708222,1.3802833935
040,51,3,5,Virginia,97945,102999,57920,23718,26102,3046,45079,49820,13.858183259,7.7929491974,3.1911804051,3.5119399163,6.0652340619,6.7031203213
040,53,4,9,Washington,75915,80663,45889,23457,19503,-1819,34774,42960,13.075351407,7.4385381244,3.8023445441,3.1614070701,5.6368132829,6.9637516142
040,54,3,5,West Virginia,2201,20707,21345,671,2813,-645,-638,3484,11.431189698,11.783394219,0.3704219968,1.552901754,-0.352204522,1.9233237508
040,55,2,3,Wisconsin,31741,69572,45477,8292,1360,-2006,24095,9652,12.677893365,8.2871350051,1.5110258694,0.247828652,4.3907583602,1.7588545214
040,56,4,8,Wyoming,3972,6626,4135,377,1280,-176,2491,1657,13.149408316,8.2059769677,0.7481628336,2.5401815039,4.9434313486,3.2883443375
