SUMLEV,Region,Division,STATE,STNAME,CENSUS2000POP,ESTIMATESBASE2000,POPESTIMATE2000,POPESTIMATE2001,POPESTIMATE2002,POPESTIMATE2003,POPESTIMATE2004,POPESTIMATE2005,BIRTHS2000,BIRTHS2001,BIRTHS2002,BIRTHS2003,BIRTHS2004,BIRTHS2005,DEATHS2000,DEATHS2001,DEATHS2002,DEATHS2003,DEATHS2004,DEATHS2005,INTERNATIONALMIG2000,INTERNATIONALMIG2001,INTERNATIONALMIG2002,INTERNATIONALMIG2003,INTERNATIONALMIG2004,INTERNATIONALMIG2005,INTERNALMIG2000,INTERNALMIG2001,INTERNALMIG2002,INTERNALMIG2003,INTERNALMIG2004,INTERNALMIG2005,RESIDUAL2000,RESIDUAL2001,RESIDUAL2002,RESIDUAL2003,RESIDUAL2004,RESIDUAL2005
040,3,5,24,Maryland,5296486,5296506,5311543,5379591,5442268,5512477,5561332,5600388,18621,74719,73976,75119,76587,76753,10228,44164,44615,44370,43719,42972,6227,21963,22328,21107,19096,18251,295,10353,12666,6518,-6791,-13289,122,5177,-1678,11835,3682,313
040,1,1,25,Massachusetts,6349097,6349105,6362132,6394750,6411568,6417565,6407382,6398743,20902,82185,81561,80905,80557,80122,13354,57337,56711,56033,55688,55780,8694,33292,33347,31785,29041,26515,-3470,-22892,-39506,-48514,-61980,-60053,255,-2630,-1873,-2146,-2113,557
040,2,3,26,Michigan,9938444,9938480,9956111,10002663,10039379,10078146,10104206,10120860,34484,134964,131182,130204,131009,130054,20551,88064,87489,87185,86301,86547,6028,25358,25397,24174,22029,19915,-2633,-21988,-29693,-25375,-37495,-47900,303,-3718,-2681,-3051,-3182,1132
040,2,4,27,Minnesota,4919479,4919492,4933756,4984621,5023526,5061662,5096546,5132799,16753,67157,66087,68422,69627,69966,8603,38085,38168,37968,37073,36863,3525,14622,14671,13984,12681,11317,2619,7423,-3566,-6077,-8719,-8448,-30,-252,-119,-225,-1632,281
040,3,6,28,Mississippi,2844658,2844656,2848753,2857577,2866349,2880793,2900768,2921088,10485,44285,42643,42684,43660,45092,6660,28731,28446,28465,28071,27743,660,1985,2175,2027,1801,2005,-307,-7508,-6627,-783,3705,942,-81,-1207,-973,-1019,-1120,24
040,2,4,29,Missouri,5595211,5596683,5606265,5643326,5681045,5718717,5759532,5800310,18771,75479,75108,75832,77192,78766,12432,54950,55690,55117,54164,53392,2272,8594,8788,8324,7541,7171,1076,2302,4971,6111,4236,8283,-105,5636,4542,2522,6010,-50
040,4,8,30,Montana,902195,902195,903510,906098,910395,917885,926920,935670,2837,10800,10800,11099,11246,11219,1926,8259,8422,8464,8504,8752,110,390,443,419,374,405,296,-39,1695,4760,6292,5929,-2,-304,-219,-324,-373,-51
040,2,4,31,Nebraska,1711263,1711265,1713261,1718965,1726753,1738013,1747704,1758787,6048,24511,24659,25486,25699,25991,3389,15088,15557,15388,15314,15554,1193,4453,4565,4328,3931,3729,-1887,-7939,-5733,-2954,-4407,-3286,31,-233,-146,-212,-218,203
040,4,8,32,Nevada,1998257,1998257,2018214,2094827,2167867,2241700,2332898,2414807,7347,30817,31862,32848,33652,33925,3627,15643,16804,17037,17685,17994,3481,13493,13579,12912,11741,10892,13111,47751,44604,45318,64446,55715,-355,195,-201,-208,-956,-629
040,1,1,33,New Hampshire,1235786,1235786,1240554,1258546,1274666,1287594,1299169,1309940,3738,14332,14482,14343,14179,13986,2279,9949,9934,9655,9632,9739,579,2286,2294,2177,1962,1809,2693,11793,9674,6500,5601,4600,37,-470,-396,-437,-535,115
040,1,2,34,New Jersey,8414350,8414347,8433704,8504864,8576089,8640028,8685166,8717925,27509,113152,114079,117084,116858,115428,16644,72519,74961,73471,73208,73087,15399,59398,59495,56723,51787,47392,-6883,-25310,-24810,-33665,-47244,-56989,-24,-3561,-2578,-2732,-3055,15
040,4,8,35,New Mexico,1819046,1819046,1821526,1832608,1855400,1879252,1903006,1928384,6528,27065,27080,27547,27796,27601,3010,13421,13715,13690,13209,12175,1527,5619,5749,5430,4912,4737,-2579,-7420,4237,5226,4925,5138,14,-761,-559,-661,-670,77
040,1,2,36,New York,18976457,18976821,18998889,19091210,19164755,19228031,19280727,19254630,64814,260880,255818,254783,255492,253695,37001,157005,158088,156088,154489,154935,34844,136744,136998,130532,119078,108811,-40414,-163498,-174386,-176974,-213190,-232638,-175,15200,13203,11023,45805,-1030
040,3,5,37,North Carolina,8049313,8046491,8078429,8198279,8312755,8422375,8540468,8683242,28765,120443,118669,118046,119918,121468,16697,72677,71827,72920,72631,72460,9425,31214,32300,30482,27448,27355,10321,41047,35335,34476,44886,66383,124,-177,-1,-464,-1528,28
040,2,4,38,North Dakota,642200,642204,641153,636239,633571,633051,636308,636677,1864,7614,7599,7780,7965,8068,1381,5921,5995,5994,5810,5506,240,687,753,698,606,703,-1747,-7057,-4825,-2775,744,-2908,-27,-237,-200,-229,-248,12
040,2,3,39,Ohio,11353140,11353145,11363809,11384992,11404651,11431748,11450143,11464042,38820,154137,148508,148446,149350,150051,25369,110196,109246,108367,108585,109672,3817,15418,15483,14723,13369,12332,-6958,-36911,-34550,-26455,-32300,-39976,354,-1265,-536,-1250,-3439,1164
040,3,7,40,Oklahoma,3450654,3450652,3454321,3465778,3487076,3504917,3523546,3547884,12058,49373,50136,50425,50895,51437,8088,35156,35282,35267,35057,34721,2102,7214,7515,7061,6369,6285,-2421,-8566,12,-3177,-2336,1070,18,-1408,-1083,-1201,-1242,267
040,4,9,41,Oregon,3421399,3421436,3431070,3473484,3522342,3562681,3591363,3641056,11487,45041,44505,45232,45447,44845,7146,30304,31190,30870,30786,31065,3801,14844,14855,14140,12917,11706,1425,14408,21963,13147,2549,24329,67,-1575,-1275,-1310,-1445,-122
040,1,2,42,Pennsylvania,12281054,12281054,12286314,12296063,12324415,12364930,12394471,12429616,36117,145228,141701,144360,146659,147822,30633,131844,130143,129177,126902,125588,5330,21060,21080,20050,18282,16668,-5768,-20280,-1259,8663,-4290,-5078,214,-4415,-3027,-3381,-4208,1321
040,1,1,44,Rhode Island,1048319,1048319,1050742,1058365,1068550,1075729,1079916,1076189,3114,12384,12324,12654,13192,13305,2318,9876,9691,9809,10002,10057,1082,3831,3865,3678,3369,3140,488,1776,4018,1049,-2052,-10243,57,-492,-331,-393,-320,128
040,3,5,45,South Carolina,4012012,4011816,4023560,4059615,4102568,4146753,4197892,4255083,13389,57013,56024,55762,56425,56812,8559,37516,37571,38144,38021,37899,2300,6995,7406,6948,6207,6545,4459,11428,18444,21082,28115,31556,155,-1865,-1350,-1463,-1587,177
040,2,4,46,South Dakota,754844,754840,755741,758068,760368,764599,770621,775933,2604,10418,10377,10687,10943,11218,1605,7039,6997,6884,7133,7390,203,784,812,761,691,706,-267,-1492,-1606,-66,1868,828,-34,-344,-286,-267,-347,-50
040,3,6,47,Tennessee,5689283,5689262,5703052,5746831,5790312,5841585,5893298,5962959,19294,79441,77948,77989,79194,80439,13013,55858,56038,56652,57326,58215,2771,10049,10248,9721,8763,8421,4675,10733,11699,20744,23064,38792,63,-586,-376,-529,-1982,224
040,3,7,48,Texas,20851820,20851792,20949354,21333606,21722394,22099136,22471549,22859968,85611,363212,365906,373687,378154,381828,34672,149914,152813,149831,152064,153922,35232,134976,136265,129532,117689,109467,11627,42767,45900,30438,36923,51067,-236,-6789,-6470,-7084,-8289,-21
040,4,8,49,Utah,2233169,2233198,2243136,2287736,2336673,2378696,2420708,2469585,12182,47053,47577,49086,49538,48997,2998,12482,12991,13007,13158,13386,2581,10253,10305,9788,8889,8179,-1869,-9431,-8280,-12304,-6908,4970,42,9207,12326,8460,3651,117
040,1,1,50,Vermont,608827,608827,609937,612824,616274,619092,621233,623050,1632,6450,6243,6423,6479,6379,1171,5200,5091,5142,4975,4879,193,911,909,868,794,684,422,1018,1594,887,62,-453,34,-292,-205,-218,-219,86
040,3,5,51,Virginia,7078515,7079030,7104078,7191941,7286061,7383387,7481332,7567465,24112,99298,99135,100532,102999,105400,13145,56740,56895,57022,57920,58699,8946,26787,28380,26594,23718,25552,5412,13631,19762,23725,26102,14889,-277,4887,3738,3497,3046,-1009
040,4,9,53,Washington,5894121,5894140,5911212,5992412,6066319,6131131,6207046,6287759,20404,79626,77974,79193,80663,80195,10645,44544,44682,45491,45889,46644,7618,26879,27455,25996,23457,22837,-446,19335,13200,5310,19503,24072,141,-96,-40,-196,-1819,253
040,3,5,54,West Virginia,1808344,1808350,1807442,1801438,1804529,1810347,1812548,1816856,5059,20421,20395,20498,20707,21212,4890,21455,21041,20917,21345,21940,153,764,759,731,671,613,-1232,-5012,3544,6155,2813,4250,2,-722,-566,-649,-645,173
040,2,3,55,Wisconsin,5363675,5363715,5374429,5404432,5439137,5471792,5503533,5536201,17189,68338,68104,68758,69572,69573,10742,47209,46870,46937,45477,44952,2348,9512,9516,9066,8292,7372,1784,1913,5761,3739,1360,38,135,-2551,-1806,-1971,-2006,637
040,4,8,56,Wyoming,493782,493782,494139,494045,499045,501915,505887,509294,1503,6140,6205,6596,6626,6634,958,4017,4145,4050,4135,4234,136,433,468,426,377,424,-322,-2438,2627,74,1280,550,-2,-212,-155,-176,-176,33
