SUMLEV,STATE,Region,Division,STNAME,NPOPCHG_2002,BIRTHS2002,DEATHS2002,INTERNATIONALMIG2002,INTERNALMIG2002,RESIDUAL2002,NATURALINC2002,NETMIG2002,RBIRTH2002,RDEATH2002,RINTERNATIONALMIG2002,RINTERNALMIG2002,RNATURALINC2002,RNETMIG2002
040,16,4,8,Idaho,22811,20473,9877,2980,8072,1163,10596,11052,15.363574453,7.4120072717,2.2362844659,6.0574792647,7.9515671814,8.2937637305
040,17,2,3,Illinois,68333,181440,106215,67463,-74065,-290,75225,-6602,14.454292502,8.4615447428,5.3743933812,-5.900337159,5.9927477595,-0.525943778
040,18,2,3,Indiana,29062,84676,55810,11465,-9680,-1589,28866,1785,13.790412312,9.0892686372,1.8672005899,-1.576493826,4.7011436746,0.2907067643
040,19,2,4,Iowa,3068,36996,27916,6117,-11618,-511,9080,-5501,12.614540478,9.5185293538,2.0857158639,-3.961393969,3.0960111238,-1.875678105
040,20,2,4,Kansas,11575,38661,24783,7907,-10263,53,13878,-2356,14.283621569,9.156281352,2.9213055986,-3.791749002,5.1273402172,-0.870443403
040,21,3,6,Kentucky,21602,53667,40389,5630,3981,-1287,13278,9611,13.161066668,9.9048264602,1.3806772381,0.9762834964,3.2562402074,2.3569607346
040,22,3,7,Louisiana,9745,66526,41605,4138,-17931,-1383,24921,-13793,14.882339565,9.3073345398,0.9257000439,-4.011292288,5.575005025,-3.085592244
040,23,1,1,Maine,10628,13177,12655,1033,9491,-418,522,10524,10.201569448,9.7974395818,0.7997435866,7.3478861376,0.4041298666,8.1476297241
040,24,3,5,Maryland,62677,73976,44615,22328,12666,-1678,29361,34994,13.671588218,8.2453486042,4.1264629303,2.3408177837,5.4262396137,6.467280714
040,25,1,1,Massachusetts,16818,81561,56711,33347,-39506,-1873,24850,-6159,12.737619041,8.8567221273,5.207898164,-6.169767142,3.8808969135,-0.961868977
040,26,2,3,Michigan,36716,131182,87489,25397,-29693,-2681,43693,-4296,13.090682077,8.7305475161,2.5343724956,-2.963071328,4.3601345611,-0.428698832
040,27,2,4,Minnesota,38905,66087,38168,14671,-3566,-119,27919,11105,13.20664055,7.6273859687,2.9318114532,-0.712619429,5.5792545813,2.2191920243
040,28,3,6,Mississippi,8772,42643,28446,2175,-6627,-973,14197,-4452,14.899913102,9.9393318502,0.7599678962,-2.315543562,4.9605812514,-1.555575666
040,29,2,4,Missouri,37719,75108,55690,8788,4971,4542,19418,13759,13.264842701,9.8354248549,1.5520508821,0.8779295556,3.4294178458,2.4299804378
040,30,4,8,Montana,4297,10800,8422,443,1695,-219,2378,2138,11.891044997,9.2728130524,0.4877530494,1.8662334509,2.6182319447,2.3539865004
040,31,2,4,Nebraska,7788,24659,15557,4565,-5733,-146,9102,-1168,14.312836976,9.029758094,2.6496654689,-3.327608353,5.2830788823,-0.677942884
040,32,4,8,Nevada,73040,31862,16804,13579,44604,-201,15058,58183,14.949231636,7.8842159442,6.3710883305,20.927610567,7.065015692,27.298698898
040,33,1,1,New Hampshire,16120,14482,9934,2294,9674,-396,4548,11968,11.433705509,7.8430072177,1.8111393756,7.6377342283,3.5906982913,9.4488736039
040,34,1,2,New Jersey,71225,114079,74961,59495,-24810,-2578,39118,34685,13.357451426,8.7771449286,6.9662389446,-2.904990137,4.580306497,4.0612488074
040,35,4,8,New Mexico,22792,27080,13715,5749,4237,-559,13365,9986,14.685434522,7.4376194412,3.1176721959,2.2977173585,7.2478150807,5.4153895545
040,36,1,2,New York,73545,255818,158088,136998,-174386,13203,97730,-37388,13.374018928,8.2647503468,7.1621771925,-9.116800478,5.1092685807,-1.954623286
040,37,3,5,North Carolina,114476,118669,71827,32300,35335,-1,46842,67635,14.374508586,8.7004847788,3.9125350962,4.2801680379,5.6740238074,8.1927031342
040,38,2,4,North Dakota,-2668,7599,5995,753,-4825,-200,1604,-4072,11.96871973,9.4423575181,1.1860042054,-7.599562139,2.5263622117,-6.413557934
040,39,2,3,Ohio,19659,148508,109246,15483,-34550,-536,39262,-19067,13.032937813,9.5873375463,1.3587751243,-3.03207909,3.4456002668,-1.673303965
040,40,3,7,Oklahoma,21298,50136,35282,7515,12,-1083,14854,7527,14.421703663,10.148925894,2.1617022305,0.0034518199,4.2727777687,2.1651540504
040,41,4,9,Oregon,48858,44505,31190,14855,21963,-1275,13315,36818,12.723301008,8.9167454994,4.2468180312,6.2788868677,3.806555509,10.525704899
040,42,1,2,Pennsylvania,28352,141701,130143,21080,-1259,-3027,11558,19821,11.510824445,10.571931219,1.7123956732,-0.102272588,0.9388932254,1.6101230853
040,44,1,1,Rhode Island,10185,12324,9691,3865,4018,-331,2633,7883,11.588615436,9.1127289995,3.6343718484,3.7782421959,2.4758864365,7.4126140443
040,45,3,5,South Carolina,42953,56024,37571,7406,18444,-1350,18453,25850,13.727700053,9.2061155698,1.8147105989,4.5193791906,4.521584483,6.3340897895
040,46,2,4,South Dakota,2300,10377,6997,812,-1606,-286,3380,-794,13.668011032,9.2160617899,1.069521534,-2.115334463,4.4519492425,-1.045812929
040,47,3,6,Tennessee,43481,77948,56038,10248,11699,-376,21910,21947,13.512530789,9.714363426,1.7765230092,2.0280584197,3.7981673626,3.8045814289
040,48,3,7,Texas,388788,365906,152813,136265,45900,-6470,213093,182165,16.996748421,7.0983370494,6.3296636938,2.1321070234,9.8984113712,8.4617707172
040,49,4,8,Utah,48937,47577,12991,10305,-8280,12326,34586,2025,20.576467177,5.6184476762,4.4567857212,-3.580998134,14.9580195,0.8757875871
040,50,1,1,Vermont,3450,6243,5091,909,1594,-205,1152,2503,10.158669203,8.2841238046,1.4791334784,2.5937720182,1.8745453983,4.0729054966
040,51,3,5,Virginia,94120,99135,56895,28380,19762,3738,42240,48142,13.694569182,7.8595098965,3.9204304572,2.7299346968,5.8350592851,6.650365154
040,53,4,9,Washington,73907,77974,44682,27455,13200,-40,33292,40655,12.932372403,7.4107300345,4.5535471353,2.1892850914,5.5216423685,6.7428322267
040,54,3,5,West Virginia,3091,20395,21041,759,3544,-566,-646,4303,11.311806237,11.670101252,0.4209689107,1.9656308557,-0.358295015,2.3865997664
040,55,2,3,Wisconsin,34705,68104,46870,9516,5761,-1806,21234,15277,12.561177966,8.6447552462,1.7551416881,1.0625652864,3.9164227202,2.8177069745
040,56,4,8,Wyoming,5000,6205,4145,468,2627,-155,2060,3095,12.496349777,8.347682486,0.9425127632,5.2905577541,4.148667291,6.2330705173
